c FILE			: 2_12.txt
c No. of vertices	: 4096
c No. of directed edges	: 65536
c Max. weight		: 100
c Min. weight		: 0
c A directed arc from u to v of weight w
c is represented below as ' a  u  v  w '
p sp 4096 65536
a 408 1261 66
a 1272 1583 55
a 451 800 87
a 954 3739 8
a 2776 1647 78
a 774 2534 12
a 2077 1479 65
a 2516 570 4
a 3558 1386 21
a 205 2077 22
a 669 3184 27
a 1478 2403 49
a 1119 934 2
a 3559 3743 98
a 2166 1614 58
a 862 1779 27
a 376 1767 57
a 928 4037 21
a 3429 2963 38
a 1555 302 93
a 621 2172 61
a 440 255 99
a 2634 3628 99
a 3987 2663 20
a 1853 3582 58
a 563 2174 82
a 1910 3781 60
a 3688 4048 58
a 2274 3427 65
a 3286 3189 84
a 2926 2901 61
a 3669 2510 17
a 3592 811 65
a 482 112 87
a 2235 65 21
a 2316 1485 33
a 2575 2884 44
a 2683 1197 95
a 3960 1763 94
a 909 3415 68
a 398 611 69
a 96 1125 73
a 2357 1973 64
a 1708 1547 89
a 216 1832 86
a 937 1750 59
a 4068 2399 82
a 3852 1149 15
a 2500 71 15
a 577 3658 25
a 3181 10 45
a 212 2843 24
a 2961 2827 44
a 4 3036 41
a 1242 879 79
a 1777 797 46
a 4091 1022 70
a 2951 2070 68
a 3730 1019 73
a 3676 921 11
a 3437 63 3
a 3441 255 34
a 3444 3202 96
a 2301 3924 21
a 2465 1305 29
a 467 1676 19
a 77 2652 99
a 3539 829 38
a 2007 1246 73
a 682 1903 91
a 60 1235 87
a 1510 3082 9
a 1935 1847 35
a 3568 2388 25
a 180 2496 11
a 479 3202 22
a 314 3418 93
a 1251 3356 91
a 3805 400 4
a 3889 2430 43
a 2267 2607 47
a 3998 3226 43
a 2054 178 64
a 1237 1563 46
a 3927 3921 63
a 134 4052 49
a 2961 761 12
a 1203 3005 47
a 666 3931 12
a 3296 1813 68
a 810 1907 26
a 585 1714 49
a 3973 1701 27
a 239 916 99
a 1989 3190 93
a 1444 3841 84
a 1393 2857 47
a 944 2478 63
a 2250 298 78
a 1315 532 59
a 3437 524 16
a 3928 2524 64
a 3577 1003 89
a 3488 835 51
a 3374 3952 63
a 1160 10 21
a 2660 1409 83
a 3314 1857 30
a 303 1701 96
a 2358 2764 7
a 1595 155 83
a 2567 3508 52
a 634 1571 67
a 69 1602 37
a 3712 662 49
a 1258 1466 39
a 3159 2411 63
a 2362 588 41
a 3165 533 92
a 1078 1126 13
a 376 2400 6
a 906 891 91
a 1487 2600 73
a 794 3362 76
a 2085 218 78
a 1233 2326 58
a 3762 247 59
a 3083 220 66
a 2925 3431 15
a 2799 410 3
a 3170 469 79
a 2699 90 12
a 3297 2698 18
a 1060 4090 10
a 2367 191 42
a 3467 1069 72
a 2556 3053 24
a 2569 4030 92
a 2892 3871 68
a 3443 2697 23
a 3933 3668 89
a 3841 3025 21
a 2779 2144 92
a 2397 1728 30
a 2330 2850 22
a 3702 2520 38
a 82 2603 89
a 3638 881 43
a 727 1319 67
a 510 1663 2
a 2606 2206 29
a 2520 1336 76
a 712 3517 19
a 3813 3912 56
a 2507 2025 91
a 1602 1018 1
a 3604 244 77
a 3391 3720 27
a 2746 1756 29
a 1046 251 63
a 2776 2711 96
a 3050 2460 64
a 625 1039 80
a 3607 3681 54
a 2564 1084 84
a 3755 285 82
a 3937 2828 0
a 2992 3422 72
a 647 2571 97
a 93 61 79
a 3648 1252 52
a 584 719 43
a 3469 2528 40
a 411 2550 50
a 556 2416 42
a 3160 3384 70
a 3246 939 23
a 1074 2509 78
a 1873 2462 98
a 3177 3874 38
a 720 1679 31
a 1115 1401 89
a 3935 3702 16
a 2204 1038 37
a 713 2324 50
a 3709 3286 84
a 1111 3429 55
a 182 1746 22
a 1099 1361 48
a 994 2148 97
a 1609 1938 94
a 731 1989 18
a 3964 2418 27
a 1008 1065 88
a 3441 1953 11
a 2900 1165 52
a 2928 2298 29
a 2254 1240 30
a 3117 3871 61
a 324 1953 75
a 866 925 36
a 2243 281 42
a 3942 2623 44
a 1806 2711 92
a 920 209 52
a 500 909 60
a 3523 3920 0
a 1507 241 96
a 2433 3605 12
a 27 2690 22
a 3490 2106 71
a 1211 3517 87
a 2847 2948 28
a 2732 3911 90
a 670 3961 16
a 4051 4021 0
a 109 1215 21
a 1448 1872 50
a 2750 2161 34
a 3143 1496 55
a 2580 461 49
a 3045 3263 7
a 476 2542 14
a 3345 3867 42
a 469 2691 81
a 2517 1348 16
a 2875 45 21
a 1327 1182 5
a 2954 941 11
a 229 2879 89
a 600 3565 34
a 242 326 6
a 2781 3394 9
a 939 1836 74
a 2391 3737 63
a 3402 3842 67
a 2709 2752 97
a 871 3282 48
a 3730 1381 83
a 2428 301 66
a 744 1316 72
a 3959 1607 76
a 416 313 99
a 1915 2663 4
a 285 4028 42
a 3157 1275 45
a 3613 590 95
a 1310 1053 35
a 2691 1159 13
a 1502 2358 22
a 2512 2102 94
a 1254 2347 26
a 4053 2245 42
a 1712 706 25
a 3141 2201 11
a 3757 3399 63
a 3484 3647 34
a 181 2608 1
a 3061 140 30
a 955 145 84
a 3008 3239 93
a 1666 3308 47
a 2754 1769 9
a 2403 3806 82
a 3665 3115 48
a 1904 230 94
a 1608 3540 1
a 93 2009 41
a 2584 4018 0
a 2319 4010 31
a 2861 3046 93
a 1851 672 65
a 2801 1885 10
a 1616 2107 54
a 2306 4005 35
a 1429 1676 81
a 940 2893 7
a 2572 675 12
a 2272 4030 91
a 145 3028 60
a 3204 4007 92
a 2476 2831 13
a 212 685 72
a 3862 3830 83
a 135 1881 72
a 420 336 19
a 3410 319 49
a 2903 3037 83
a 1407 1530 3
a 1772 1263 88
a 1434 2491 79
a 745 3502 10
a 1618 185 83
a 914 1026 37
a 532 1154 61
a 2690 3581 30
a 1828 3754 40
a 912 225 85
a 2000 3735 28
a 1027 2768 43
a 583 3330 94
a 1461 3919 18
a 2825 199 72
a 1506 915 99
a 2081 2290 98
a 249 1367 82
a 1918 3175 17
a 1221 325 17
a 1296 3320 60
a 476 1327 95
a 975 1358 9
a 1139 3563 67
a 2384 123 22
a 976 1507 29
a 3459 276 19
a 1650 1691 2
a 3229 1927 91
a 1263 2182 15
a 2059 3533 69
a 40 835 49
a 760 2247 74
a 592 3192 46
a 3960 1501 61
a 2055 1927 99
a 94 1867 61
a 2464 909 64
a 952 1012 23
a 437 1450 11
a 236 495 18
a 1461 1080 99
a 1753 3477 19
a 1042 2522 93
a 770 2663 1
a 2799 2000 63
a 1749 2772 76
a 1300 3949 84
a 1323 73 54
a 3389 2792 12
a 2349 3351 21
a 2088 3825 42
a 1978 3442 91
a 723 1853 39
