c FILE			: 2_10.txt
c No. of vertices	: 1024
c No. of directed edges	: 16384
c Max. weight		: 100
c Min. weight		: 0
c A directed arc from u to v of weight w
c is represented below as ' a  u  v  w '
p sp 1024 16384
a 408 237 66
a 248 559 55
a 451 800 87
a 954 667 8
a 728 623 78
a 774 486 12
a 29 455 65
a 468 570 4
a 486 362 21
a 205 29 22
a 669 112 27
a 454 355 49
a 95 934 2
a 487 671 98
a 118 590 58
a 862 755 27
a 376 743 57
a 928 965 21
a 357 915 38
a 531 302 93
a 621 124 61
a 440 255 99
a 586 556 99
a 915 615 20
a 829 510 58
a 563 126 82
a 886 709 60
a 616 976 58
a 226 355 65
a 214 117 84
a 878 853 61
a 597 462 17
a 520 811 65
a 482 112 87
a 187 65 21
a 268 461 33
a 527 836 44
a 635 173 95
a 888 739 94
a 909 343 68
a 398 611 69
a 96 101 73
a 309 949 64
a 684 523 89
a 216 808 86
a 937 726 59
a 996 351 82
a 780 125 15
a 452 71 15
a 577 586 25
a 109 10 45
a 212 795 24
a 913 779 44
a 4 988 41
a 218 879 79
a 753 797 46
a 1019 1022 70
a 903 22 68
a 658 1019 73
a 604 921 11
a 365 63 3
a 369 255 34
a 372 130 96
a 253 852 21
a 417 281 29
a 467 652 19
a 77 604 99
a 467 829 38
a 983 222 73
a 682 879 91
a 60 211 87
a 486 10 9
a 911 823 35
a 496 340 25
a 180 448 11
a 479 130 22
a 314 346 93
a 227 284 91
a 733 400 4
a 817 382 43
a 219 559 47
a 926 154 43
a 6 178 64
a 213 539 46
a 855 849 63
a 134 980 49
a 913 761 12
a 179 957 47
a 666 859 12
a 224 789 68
a 810 883 26
a 585 690 49
a 901 677 27
a 239 916 99
a 965 118 93
a 420 769 84
a 369 809 47
a 944 430 63
a 202 298 78
a 291 532 59
a 365 524 16
a 856 476 64
a 505 1003 89
a 416 835 51
a 302 880 63
a 136 10 21
a 612 385 83
a 242 833 30
a 303 677 96
a 310 716 7
a 571 155 83
a 519 436 52
a 634 547 67
a 69 578 37
a 640 662 49
a 234 442 39
a 87 363 63
a 314 588 41
a 93 533 92
a 54 102 13
a 376 352 6
a 906 891 91
a 463 552 73
a 794 290 76
a 37 218 78
a 209 278 58
a 690 247 59
a 11 220 66
a 877 359 15
a 751 410 3
a 98 469 79
a 651 90 12
a 225 650 18
a 36 1018 10
a 319 191 42
a 395 45 72
a 508 1005 24
a 521 958 92
a 844 799 68
a 371 649 23
a 861 596 89
a 769 977 21
a 731 96 92
a 349 704 30
a 282 802 22
a 630 472 38
a 82 555 89
a 566 881 43
a 727 295 67
a 510 639 2
a 558 158 29
a 472 312 76
a 712 445 19
a 741 840 56
a 459 1001 91
a 578 1018 1
a 532 244 77
a 319 648 27
a 698 732 29
a 22 251 63
a 728 663 96
a 1002 412 64
a 625 15 80
a 535 609 54
a 516 60 84
a 683 285 82
a 865 780 0
a 944 350 72
a 647 523 97
a 93 61 79
a 576 228 52
a 584 719 43
a 397 480 40
a 411 502 50
a 556 368 42
a 88 312 70
a 174 939 23
a 50 461 78
a 849 414 98
a 105 802 38
a 720 655 31
a 91 377 89
a 863 630 16
a 156 14 37
a 713 276 50
a 637 214 84
a 87 357 55
