c FILE			: 2_11.txt
c No. of vertices	: 2048
c No. of directed edges	: 32768
c Max. weight		: 100
c Min. weight		: 0
c A directed arc from u to v of weight w
c is represented below as ' a  u  v  w '
p sp 2048 32768
a 408 1261 66
a 1272 1583 55
a 451 800 87
a 954 1691 8
a 728 1647 78
a 774 486 12
a 29 1479 65
a 468 570 4
a 1510 1386 21
a 205 29 22
a 669 1136 27
a 1478 355 49
a 1119 934 2
a 1511 1695 98
a 118 1614 58
a 862 1779 27
a 376 1767 57
a 928 1989 21
a 1381 915 38
a 1555 302 93
a 621 124 61
a 440 255 99
a 586 1580 99
a 1939 615 20
a 1853 1534 58
a 563 126 82
a 1910 1733 60
a 1640 2000 58
a 226 1379 65
a 1238 1141 84
a 878 853 61
a 1621 462 17
a 1544 811 65
a 482 112 87
a 187 65 21
a 268 1485 33
a 527 836 44
a 635 1197 95
a 1912 1763 94
a 909 1367 68
a 398 611 69
a 96 1125 73
a 309 1973 64
a 1708 1547 89
a 216 1832 86
a 937 1750 59
a 2020 351 82
a 1804 1149 15
a 452 71 15
a 577 1610 25
a 1133 10 45
a 212 795 24
a 913 779 44
a 4 988 41
a 1242 879 79
a 1777 797 46
a 2043 1022 70
a 903 22 68
a 1682 1019 73
a 1628 921 11
a 1389 63 3
a 1393 255 34
a 1396 1154 96
a 253 1876 21
a 417 1305 29
a 467 1676 19
a 77 604 99
a 1491 829 38
a 2007 1246 73
a 682 1903 91
a 60 1235 87
a 1510 1034 9
a 1935 1847 35
a 1520 340 25
a 180 448 11
a 479 1154 22
a 314 1370 93
a 1251 1308 91
a 1757 400 4
a 1841 382 43
a 219 559 47
a 1950 1178 43
a 6 178 64
a 1237 1563 46
a 1879 1873 63
a 134 2004 49
a 913 761 12
a 1203 957 47
a 666 1883 12
a 1248 1813 68
a 810 1907 26
a 585 1714 49
a 1925 1701 27
a 239 916 99
a 1989 1142 93
a 1444 1793 84
a 1393 809 47
a 944 430 63
a 202 298 78
a 1315 532 59
a 1389 524 16
a 1880 476 64
a 1529 1003 89
a 1440 835 51
a 1326 1904 63
a 1160 10 21
a 612 1409 83
a 1266 1857 30
a 303 1701 96
a 310 716 7
a 1595 155 83
a 519 1460 52
a 634 1571 67
a 69 1602 37
a 1664 662 49
a 1258 1466 39
a 1111 363 63
a 314 588 41
a 1117 533 92
a 1078 1126 13
a 376 352 6
a 906 891 91
a 1487 552 73
a 794 1314 76
a 37 218 78
a 1233 278 58
a 1714 247 59
a 1035 220 66
a 877 1383 15
a 751 410 3
a 1122 469 79
a 651 90 12
a 1249 650 18
a 1060 2042 10
a 319 191 42
a 1419 1069 72
a 508 1005 24
a 521 1982 92
a 844 1823 68
a 1395 649 23
a 1885 1620 89
a 1793 977 21
a 731 96 92
a 349 1728 30
a 282 802 22
a 1654 472 38
a 82 555 89
a 1590 881 43
a 727 1319 67
a 510 1663 2
a 558 158 29
a 472 1336 76
a 712 1469 19
a 1765 1864 56
a 459 2025 91
a 1602 1018 1
a 1556 244 77
a 1343 1672 27
a 698 1756 29
a 1046 251 63
a 728 663 96
a 1002 412 64
a 625 1039 80
a 1559 1633 54
a 516 1084 84
a 1707 285 82
a 1889 780 0
a 944 1374 72
a 647 523 97
a 93 61 79
a 1600 1252 52
a 584 719 43
a 1421 480 40
a 411 502 50
a 556 368 42
a 1112 1336 70
a 1198 939 23
a 1074 461 78
a 1873 414 98
a 1129 1826 38
a 720 1679 31
a 1115 1401 89
a 1887 1654 16
a 156 1038 37
a 713 276 50
a 1661 1238 84
a 1111 1381 55
a 182 1746 22
a 1099 1361 48
a 994 100 97
a 1609 1938 94
a 731 1989 18
a 1916 370 27
a 1008 1065 88
a 1393 1953 11
a 852 1165 52
a 880 250 29
a 206 1240 30
a 1069 1823 61
a 324 1953 75
a 866 925 36
a 195 281 42
a 1894 575 44
a 1806 663 92
a 920 209 52
a 500 909 60
a 1475 1872 0
a 1507 241 96
a 385 1557 12
a 27 642 22
a 1442 58 71
a 1211 1469 87
a 799 900 28
a 684 1863 90
a 670 1913 16
a 2003 1973 0
a 109 1215 21
a 1448 1872 50
a 702 113 34
a 1095 1496 55
a 532 461 49
a 997 1215 7
a 476 494 14
a 1297 1819 42
a 469 643 81
a 469 1348 16
a 827 45 21
a 1327 1182 5
a 906 941 11
a 229 831 89
a 600 1517 34
a 242 326 6
a 733 1346 9
a 939 1836 74
a 343 1689 63
a 1354 1794 67
a 661 704 97
a 871 1234 48
a 1682 1381 83
a 380 301 66
a 744 1316 72
a 1911 1607 76
a 416 313 99
a 1915 615 4
a 285 1980 42
a 1109 1275 45
a 1565 590 95
a 1310 1053 35
a 643 1159 13
a 1502 310 22
a 464 54 94
a 1254 299 26
a 2005 197 42
a 1712 706 25
a 1093 153 11
a 1709 1351 63
a 1436 1599 34
a 181 560 1
a 1013 140 30
a 955 145 84
a 960 1191 93
a 1666 1260 47
a 706 1769 9
a 355 1758 82
a 1617 1067 48
a 1904 230 94
a 1608 1492 1
a 93 2009 41
a 536 1970 0
a 271 1962 31
a 813 998 93
a 1851 672 65
a 753 1885 10
a 1616 59 54
a 258 1957 35
a 1429 1676 81
a 940 845 7
a 524 675 12
a 224 1982 91
a 145 980 60
a 1156 1959 92
a 428 783 13
a 212 685 72
a 1814 1782 83
a 135 1881 72
a 420 336 19
a 1362 319 49
a 855 989 83
a 1407 1530 3
a 1772 1263 88
a 1434 443 79
a 745 1454 10
a 1618 185 83
a 914 1026 37
a 532 1154 61
a 642 1533 30
a 1828 1706 40
a 912 225 85
a 2000 1687 28
a 1027 720 43
a 583 1282 94
a 1461 1871 18
a 777 199 72
a 1506 915 99
a 33 242 98
a 249 1367 82
a 1918 1127 17
a 1221 325 17
a 1296 1272 60
a 476 1327 95
a 975 1358 9
a 1139 1515 67
a 336 123 22
a 976 1507 29
a 1411 276 19
a 1650 1691 2
a 1181 1927 91
a 1263 134 15
a 11 1485 69
a 40 835 49
a 760 199 74
a 592 1144 46
a 1912 1501 61
a 7 1927 99
a 94 1867 61
a 416 909 64
a 952 1012 23
a 437 1450 11
a 236 495 18
a 1461 1080 99
a 1753 1429 19
a 1042 474 93
a 770 615 1
a 751 2000 63
a 1749 724 76
a 1300 1901 84
a 1323 73 54
a 1341 744 12
a 301 1303 21
a 40 1777 42
a 1978 1394 91
a 723 1853 39
a 1411 2041 19
a 1264 538 86
a 743 1701 56
a 1939 1432 54
a 1975 1179 68
a 791 878 77
a 1229 1172 27
a 1581 1666 81
a 1482 1098 62
a 679 21 79
a 1086 1421 53
a 1738 1618 61
a 1637 1698 33
a 1230 102 76
a 1956 411 13
a 150 613 4
a 166 2024 85
a 510 878 31
a 1293 1122 51
a 1942 1167 73
a 1736 542 19
a 1209 1786 58
a 1014 803 31
a 1131 641 23
a 1193 1416 5
a 210 1066 51
a 922 485 88
a 1504 455 98
a 1833 905 57
a 1987 1947 96
a 1214 647 49
a 2043 1390 68
a 1190 1325 44
a 330 832 41
a 141 290 18
a 1006 672 45
a 1336 914 12
a 1448 1468 18
a 2032 591 0
a 266 993 0
a 669 238 56
a 1758 484 74
a 1683 1634 46
a 1765 994 73
a 714 664 72
a 769 354 55
a 1607 1996 15
a 1121 342 41
a 1635 301 68
a 223 1695 57
a 1136 834 52
a 995 1185 19
a 941 636 91
a 979 615 47
a 1922 1259 35
a 545 1059 73
a 551 1357 84
a 1201 1816 19
a 950 613 34
a 1236 924 52
a 1587 172 18
a 113 671 38
a 867 540 27
a 61 1878 56
a 1007 51 42
a 595 1509 79
a 1785 601 42
a 873 784 97
a 818 1771 78
a 1916 715 90
a 1656 1853 33
a 1280 208 18
a 373 464 0
a 978 977 59
a 435 1490 61
a 1478 1273 50
a 999 1233 52
a 299 456 43
a 2008 596 59
a 296 1957 3
a 1562 1732 58
a 1308 589 6
a 1418 678 18
a 523 1791 92
a 2010 339 67
a 1548 907 58
a 1915 1961 7
a 1669 917 75
a 1684 635 18
a 1563 787 81
a 1382 1045 83
a 1955 536 63
a 129 1629 54
a 622 254 67
a 2009 405 68
a 1509 1250 9
a 274 1783 60
a 1345 1286 63
a 234 885 82
a 1468 2018 92
a 1991 1957 62
a 705 544 79
a 23 1021 13
a 833 417 16
a 1542 727 3
a 1837 483 36
a 1584 1183 87
a 1755 1681 96
a 1741 59 66
a 1833 1894 24
a 850 1327 19
a 588 413 55
a 1720 944 30
a 397 1944 60
a 1877 429 54
a 1241 858 88
a 788 1352 70
a 67 876 46
a 338 1423 24
a 1092 1746 95
a 278 1276 20
a 1642 1299 18
a 1406 1425 63
a 936 1009 9
a 248 199 28
a 1108 1416 90
a 171 381 80
a 543 306 10
a 1086 119 50
a 985 1474 50
a 1085 1574 54
a 820 1298 4
a 1001 775 77
a 1505 426 97
a 119 684 74
a 1542 559 14
a 1200 885 2
a 1379 321 94
a 1056 135 75
a 1760 776 24
a 1881 1827 49
a 1234 612 9
a 71 810 70
a 1878 381 52
a 1709 1465 40
a 497 1560 31
a 188 1202 76
a 300 1940 3
a 353 1150 31
a 767 612 92
a 385 829 77
a 280 660 38
a 1567 187 50
a 1753 152 15
a 1864 1158 41
a 1034 350 95
a 761 1783 44
a 260 1589 96
a 191 68 88
a 1473 1503 58
a 428 2021 0
a 1769 1751 71
a 554 1196 39
a 1528 938 34
a 1392 1150 59
a 574 1460 82
a 712 840 32
a 994 837 50
a 852 1199 83
a 1741 192 17
a 270 1682 75
a 1939 240 91
a 1106 444 57
a 1335 649 38
a 947 786 30
a 960 643 13
a 1077 1494 56
a 851 288 67
a 548 440 1
a 1433 683 21
a 1614 1640 61
a 1348 1469 34
a 1702 1439 62
a 1232 1299 78
a 1509 2017 90
a 202 183 52
a 1891 988 20
a 630 469 61
a 1950 1893 40
a 1828 630 84
a 1978 1559 79
a 464 777 89
a 38 477 60
a 146 496 17
a 955 949 57
a 656 1125 91
a 1074 503 98
a 1156 1038 86
a 823 1081 68
a 1753 2011 58
a 821 1464 30
a 1245 1830 2
a 1014 1501 20
a 1154 251 86
a 1643 1774 84
a 1591 1500 19
a 120 1862 0
a 1592 1910 3
a 132 1791 41
a 874 1360 54
a 1630 1135 50
a 1761 1718 46
a 1186 3 34
a 1900 166 99
a 1716 1022 34
a 2024 1654 38
a 625 497 26
a 997 2031 66
a 56 1451 72
a 598 1211 1
a 1032 530 83
a 972 410 47
a 1578 1909 77
a 481 1223 59
a 1725 1113 98
a 925 84 40
a 1358 438 59
a 31 387 43
a 1576 189 77
a 1537 1129 30
a 1522 1731 68
a 1447 1784 50
a 79 98 47
a 1443 933 89
a 1859 1112 12
a 254 1399 43
a 1985 100 35
a 570 421 24
a 718 1368 13
a 129 293 34
a 260 1688 53
a 1822 258 98
a 646 1735 89
a 1512 1832 42
a 1795 224 48
a 853 235 11
a 398 326 36
a 1075 235 6
a 348 1411 21
a 1317 1455 65
a 627 1862 3
a 1026 1790 96
a 1604 541 74
a 1300 67 69
a 1124 1334 40
a 1232 1761 68
a 1118 83 80
a 319 49 67
a 1579 638 39
a 1598 1360 77
a 1264 282 39
a 2045 2043 26
a 822 576 70
a 774 432 30
a 319 1929 89
a 632 1203 89
a 656 128 21
a 1222 993 37
a 1015 1477 82
a 2010 709 44
a 1336 1602 51
a 1714 1433 18
a 1337 1343 84
a 1977 1261 13
a 1095 1339 47
a 734 8 50
a 2045 1554 58
a 1308 329 77
a 511 1981 0
a 599 309 40
a 437 736 30
a 1492 357 77
a 612 1732 95
a 1180 1985 28
a 854 1169 91
a 1450 1367 37
a 198 1093 1
a 648 1360 96
a 1435 956 34
a 1435 874 77
a 902 1876 23
a 358 1317 23
a 798 887 99
a 1950 1945 26
a 1542 598 10
a 605 103 80
a 1681 1238 34
a 474 1294 99
a 765 725 43
a 1090 422 22
a 57 947 8
a 763 380 97
a 1546 1019 94
a 396 1099 75
a 437 263 19
a 1259 331 73
a 1391 1048 11
a 130 1964 83
a 773 719 63
a 2030 482 82
a 1079 1113 69
a 1742 1852 21
a 775 456 27
a 1220 1520 95
a 533 1600 43
a 421 1537 14
a 1855 274 96
a 1140 1260 43
a 1718 473 35
a 757 1618 4
a 1190 1481 71
a 687 1750 35
a 999 234 60
a 232 620 59
a 1831 1743 6
a 1035 1167 13
a 1875 466 5
a 1049 1364 7
a 1055 116 34
a 359 1646 94
a 1093 1911 31
a 11 251 11
a 927 1484 91
a 1821 1560 66
a 1503 1400 84
a 2010 403 82
a 923 1834 20
a 221 947 39
a 606 421 11
a 856 1329 60
a 631 2004 26
a 129 1445 22
a 1258 486 56
a 1114 332 32
a 67 262 47
a 409 61 69
a 342 1756 38
a 837 880 63
a 1887 652 98
a 1820 555 71
a 1741 738 6
a 1857 965 96
a 524 219 21
a 391 84 66
a 157 435 96
a 1302 1944 31
a 1791 1212 98
a 1690 70 45
a 578 1904 90
a 561 767 45
a 1383 222 22
a 459 795 82
a 742 873 49
a 1807 319 2
a 507 841 76
a 1000 36 69
a 1744 1173 55
a 1873 580 15
a 40 1258 28
a 1673 1609 89
a 356 1508 72
a 1009 1700 70
a 1310 1987 67
a 1708 1252 63
a 1435 1772 23
a 454 1522 17
a 1078 2037 32
a 424 1028 58
a 91 1802 68
a 1433 2015 52
a 381 884 8
a 1084 121 43
a 1548 654 75
a 251 509 99
a 884 1200 91
a 575 1663 63
a 1349 881 72
a 835 1315 91
a 1529 662 93
a 65 56 35
a 130 2007 99
a 850 1447 30
a 978 1434 21
a 273 1712 21
a 769 503 20
a 267 258 49
a 266 990 41
a 1304 1855 56
a 1404 1199 26
a 1525 1936 61
a 1276 942 22
a 1589 1894 38
a 1030 15 58
a 230 878 18
a 101 701 51
a 1070 1098 79
a 1929 1609 43
a 8 314 48
a 1512 1568 73
a 809 1696 7
a 1375 222 36
a 1894 184 54
a 241 556 32
a 988 1472 59
a 776 560 57
a 1435 378 65
a 1091 675 90
a 1728 846 32
a 298 1735 35
a 168 2014 97
a 675 2003 13
a 1497 984 59
a 1173 1243 39
a 1086 1093 5
a 1989 703 29
a 1458 1365 26
a 1860 906 62
a 1631 1799 54
a 1123 1564 38
a 1905 1120 78
a 433 503 10
a 388 1841 48
a 479 532 44
a 369 1911 25
a 187 518 17
a 1358 434 10
a 1028 1451 55
a 944 608 35
a 42 264 37
a 427 709 27
a 1640 1611 29
a 1110 1568 23
a 385 522 42
a 2025 1171 81
a 1816 298 6
a 1049 717 97
a 1441 1093 14
a 1835 1194 64
a 416 556 63
a 139 1962 33
a 645 1001 52
a 1282 1353 1
a 1660 1475 33
a 887 801 17
a 1205 1389 80
a 1605 1457 9
a 196 117 57
a 33 1868 3
a 1543 494 43
a 956 1000 73
a 1925 601 75
a 1235 603 53
a 829 664 23
a 1538 1742 11
a 1774 136 14
a 1960 303 24
a 1436 431 56
a 1477 1755 44
a 1217 320 93
a 2007 432 54
a 1399 1506 36
a 1495 300 6
a 1858 1867 49
a 1706 124 12
a 1616 808 55
a 2029 1200 9
a 1706 114 1
a 159 1620 14
a 593 1051 85
a 695 721 35
a 828 398 22
a 847 26 67
a 1066 84 70
a 357 1183 20
a 5 587 16
a 490 285 15
a 792 1965 32
a 1992 1933 84
a 1945 904 47
a 876 1375 70
