c FILE			: 2_8.txt
c No. of vertices	: 256
c No. of directed edges	: 4096
c Max. weight		: 100
c Min. weight		: 0
c A directed arc from u to v of weight w
c is represented below as ' a  u  v  w '
p sp 256 4096
a 152 237 66
a 248 47 55
a 195 32 87
a 186 155 8
a 216 111 78
a 6 230 12
a 29 199 65
a 212 58 4
a 230 106 21
a 205 29 22
a 157 112 27
a 198 99 49
a 95 166 2
a 231 159 98
a 118 78 58
a 94 243 27
a 120 231 57
a 160 197 21
a 101 147 38
a 19 46 93
a 109 124 61
a 184 255 99
a 74 44 99
a 147 103 20
a 61 254 58
a 51 126 82
a 118 197 60
a 104 208 58
a 226 99 65
a 214 117 84
a 110 85 61
a 85 206 17
a 8 43 65
a 226 112 87
a 187 65 21
a 12 205 33
a 15 68 44
a 123 173 95
a 120 227 94
a 141 87 68
a 142 99 69
a 96 101 73
a 53 181 64
a 172 11 89
a 216 40 86
a 169 214 59
a 228 95 82
a 12 125 15
a 196 71 15
a 65 74 25
a 109 10 45
a 212 27 24
a 145 11 44
a 4 220 41
a 218 111 79
a 241 29 46
a 251 254 70
a 135 22 68
a 146 251 73
a 92 153 11
a 109 63 3
a 113 255 34
a 116 130 96
a 253 84 21
a 161 25 29
a 211 140 19
a 77 92 99
a 211 61 38
a 215 222 73
a 170 111 91
a 60 211 87
a 230 10 9
a 143 55 35
a 240 84 25
a 180 192 11
a 223 130 22
a 58 90 93
a 227 28 91
a 221 144 4
a 49 126 43
a 219 47 47
a 158 154 43
a 6 178 64
a 213 27 46
a 87 81 63
a 134 212 49
a 145 249 12
a 179 189 47
a 154 91 12
a 224 21 68
a 42 115 26
a 73 178 49
a 133 165 27
a 239 148 99
a 197 118 93
a 164 1 84
a 113 41 47
a 176 174 63
a 202 42 78
a 35 20 59
a 109 12 16
a 88 220 64
a 249 235 89
a 160 67 51
a 46 112 63
a 136 10 21
a 100 129 83
a 242 65 30
a 47 165 96
a 54 204 7
a 59 155 83
a 7 180 52
a 122 35 67
a 69 66 37
a 128 150 49
a 234 186 39
a 87 107 63
a 58 76 41
a 93 21 92
a 54 102 13
a 120 96 6
a 138 123 91
a 207 40 73
a 26 34 76
a 37 218 78
a 209 22 58
a 178 247 59
a 11 220 66
a 109 103 15
a 239 154 3
a 98 213 79
a 139 90 12
a 225 138 18
a 36 250 10
a 63 191 42
a 139 45 72
a 252 237 24
a 9 190 92
a 76 31 68
a 115 137 23
a 93 84 89
a 1 209 21
a 219 96 92
a 93 192 30
a 26 34 22
a 118 216 38
a 82 43 89
a 54 113 43
a 215 39 67
a 254 127 2
a 46 158 29
a 216 56 76
a 200 189 19
a 229 72 56
a 203 233 91
a 66 250 1
a 20 244 77
a 63 136 27
a 186 220 29
a 22 251 63
a 216 151 96
a 234 156 64
a 113 15 80
a 23 97 54
a 4 60 84
a 171 29 82
a 97 12 0
a 176 94 72
a 135 11 97
a 93 61 79
a 64 228 52
a 72 207 43
a 141 224 40
a 155 246 50
a 44 112 42
a 88 56 70
a 174 171 23
a 50 205 78
a 81 158 98
a 105 34 38
a 208 143 31
a 91 121 89
a 95 118 16
a 156 14 37
a 201 20 50
a 125 214 84
a 87 101 55
a 182 210 22
a 75 81 48
a 226 100 97
a 73 146 94
a 219 197 18
a 124 114 27
a 240 41 88
a 113 161 11
a 84 141 52
a 112 250 29
a 206 216 30
a 45 31 61
a 68 161 75
a 98 157 36
a 195 25 42
a 102 63 44
a 14 151 92
a 152 209 52
a 244 141 60
a 195 80 0
a 227 241 96
a 129 21 12
a 27 130 22
a 162 58 71
a 187 189 87
a 31 132 28
a 172 71 90
a 158 121 16
a 211 181 0
a 109 191 21
a 168 80 50
a 190 113 34
a 71 216 55
a 20 205 49
a 229 191 7
a 220 238 14
a 17 27 42
a 213 131 81
a 213 68 16
a 59 45 21
a 47 158 5
a 138 173 11
a 229 63 89
a 88 237 34
a 242 70 6
a 221 66 9
a 171 44 74
a 87 153 63
a 74 2 67
a 149 192 97
a 103 210 48
a 146 101 83
a 124 45 66
a 232 36 72
a 119 71 76
a 160 57 99
a 123 103 4
a 29 188 42
a 85 251 45
a 29 78 95
a 30 29 35
a 131 135 13
a 222 54 22
a 208 54 94
a 230 43 26
a 213 197 42
a 176 194 25
a 69 153 11
a 173 71 63
a 156 63 34
a 181 48 1
a 245 140 30
a 187 145 84
a 192 167 93
a 130 236 47
a 194 233 9
a 99 222 82
a 81 43 48
a 112 230 94
a 72 212 1
a 93 217 41
a 24 178 0
a 15 170 31
a 45 230 93
a 59 160 65
a 241 93 10
a 80 59 54
a 2 165 35
a 149 140 81
a 172 77 7
a 12 163 12
a 224 190 91
a 145 212 60
a 132 167 92
a 172 15 13
a 212 173 72
a 22 246 83
a 135 89 72
a 164 80 19
a 82 63 49
a 87 221 83
a 127 250 3
a 236 239 88
a 154 187 79
a 233 174 10
a 82 185 83
a 146 2 37
a 20 130 61
a 130 253 30
a 36 170 40
a 144 225 85
a 208 151 28
a 3 208 43
a 71 2 94
a 181 79 18
a 9 199 72
a 226 147 99
a 33 242 98
a 249 87 82
a 126 103 17
a 197 69 17
a 16 248 60
a 220 47 95
a 207 78 9
a 115 235 67
a 80 123 22
a 208 227 29
a 131 20 19
a 114 155 2
a 157 135 91
a 239 134 15
a 11 205 69
a 40 67 49
a 248 199 74
a 80 120 46
a 120 221 61
a 7 135 99
a 94 75 61
a 160 141 64
a 184 244 23
a 181 170 11
a 236 239 18
a 181 56 99
a 217 149 19
a 18 218 93
a 2 103 1
a 239 208 63
a 213 212 76
a 20 109 84
a 43 73 54
a 61 232 12
a 45 23 21
a 40 241 42
a 186 114 91
a 211 61 39
a 131 249 19
a 240 26 86
a 231 165 56
a 147 152 54
a 183 155 68
a 23 110 77
a 205 148 27
a 45 130 81
a 202 74 62
a 167 21 79
a 62 141 53
a 202 82 61
a 101 162 33
a 206 102 76
a 164 155 13
a 150 101 4
a 166 232 85
a 254 110 31
a 13 98 51
a 150 143 73
a 200 30 19
a 185 250 58
a 246 35 31
a 107 129 23
a 169 136 5
a 210 42 51
a 154 229 88
a 224 199 98
a 41 137 57
a 195 155 96
a 190 135 49
a 251 110 68
a 166 45 44
a 74 64 41
a 141 34 18
a 238 160 45
a 56 146 12
a 168 188 18
a 240 79 0
a 10 225 0
a 157 238 56
a 222 228 74
a 147 98 46
a 229 226 73
a 202 152 72
a 1 98 55
a 71 204 15
a 97 86 41
a 99 45 68
a 223 159 57
a 112 66 52
a 227 161 19
a 173 124 91
a 211 103 47
a 130 235 35
a 33 35 73
a 39 77 84
a 177 24 19
a 182 101 34
a 212 156 52
a 51 172 18
a 113 159 38
