c FILE			: 2_14.txt
c No. of vertices	: 16384
c No. of directed edges	: 262144
c Max. weight		: 100
c Min. weight		: 0
c A directed arc from u to v of weight w
c is represented below as ' a  u  v  w '
p sp 16384 262144
a 408 9453 66
a 1272 13871 55
a 12739 13088 87
a 13242 16027 8
a 6872 13935 78
a 4870 6630 12
a 2077 9671 65
a 14804 4666 4
a 15846 13674 21
a 4301 6173 22
a 4765 15472 27
a 13766 6499 49
a 13407 9126 2
a 7655 7839 98
a 10358 1614 58
a 4958 9971 27
a 8568 1767 57
a 13216 8133 21
a 11621 7059 38
a 9747 8494 93
a 621 6268 61
a 440 8447 99
a 14922 3628 99
a 3987 10855 20
a 14141 15870 58
a 563 10366 82
a 10102 11973 60
a 11880 4048 58
a 14562 11619 65
a 11478 15477 84
a 2926 6997 61
a 7765 14798 17
a 3592 13099 65
a 12770 12400 87
a 6331 12353 21
a 14604 1485 33
a 2575 15172 44
a 14971 5293 95
a 8056 14051 94
a 9101 15703 68
a 12686 12899 69
a 4192 1125 73
a 2357 6069 64
a 1708 5643 89
a 4312 5928 86
a 13225 14038 59
a 16356 2399 82
a 3852 1149 15
a 10692 71 15
a 577 3658 25
a 15469 4106 45
a 8404 2843 24
a 15249 6923 44
a 4 7132 41
a 1242 879 79
a 9969 797 46
a 4091 5118 70
a 2951 10262 68
a 16018 9211 73
a 7772 9113 11
a 7533 12351 3
a 11633 4351 34
a 11636 7298 96
a 10493 16212 21
a 6561 5401 29
a 467 1676 19
a 8269 2652 99
a 15827 13117 38
a 14295 1246 73
a 4778 14191 91
a 4156 5331 87
a 1510 7178 9
a 6031 10039 35
a 3568 14676 25
a 4276 10688 11
a 479 15490 22
a 12602 11610 93
a 5347 3356 91
a 7901 12688 4
a 7985 14718 43
a 14555 10799 47
a 3998 11418 43
a 14342 12466 64
a 9429 5659 46
a 8023 3921 63
a 8326 16340 49
a 15249 8953 12
a 5299 11197 47
a 666 8027 12
a 15584 5909 68
a 13098 14195 26
a 4681 5810 49
a 16261 9893 27
a 4335 916 99
a 14277 7286 93
a 9636 7937 84
a 9585 6953 47
a 13232 2478 63
a 6346 4394 78
a 1315 12820 59
a 3437 4620 16
a 12120 14812 64
a 11769 1003 89
a 15776 4931 51
a 15662 16240 63
a 5256 8202 21
a 14948 9601 83
a 15602 5953 30
a 303 9893 96
a 2358 2764 7
