c FILE			: 2_7.txt
c No. of vertices	: 128
c No. of directed edges	: 2048
c Max. weight		: 100
c Min. weight		: 0
c A directed arc from u to v of weight w
c is represented below as ' a  u  v  w '
p sp 128 2048
a 24 109 66
a 120 47 55
a 67 32 87
a 58 27 8
a 88 111 78
a 6 102 12
a 29 71 65
a 84 58 4
a 102 106 21
a 77 29 22
a 29 112 27
a 70 99 49
a 95 38 2
a 103 31 98
a 118 78 58
a 94 115 27
a 120 103 57
a 32 69 21
a 101 19 38
a 19 46 93
a 109 124 61
a 56 127 99
a 74 44 99
a 19 103 20
a 61 126 58
a 51 126 82
a 118 69 60
a 104 80 58
a 98 99 65
a 86 117 84
a 110 85 61
a 85 78 17
a 8 43 65
a 98 112 87
a 59 65 21
a 12 77 33
a 15 68 44
a 123 45 95
a 120 99 94
a 13 87 68
a 14 99 69
a 96 101 73
a 44 11 64
a 88 40 89
a 41 86 86
a 100 95 59
a 12 125 82
a 68 71 15
a 65 74 15
a 109 10 25
a 84 27 45
a 17 11 24
a 4 92 44
a 90 111 41
a 113 29 79
a 123 126 46
a 7 22 70
a 18 123 68
a 92 25 73
a 109 63 11
a 113 127 3
a 116 2 34
a 125 84 96
a 33 25 21
a 83 12 29
a 77 92 19
a 83 61 99
a 87 94 38
a 42 111 73
a 60 83 91
a 102 10 87
a 15 55 9
a 112 84 35
a 52 64 25
a 95 2 11
a 58 90 22
a 99 28 93
a 93 16 91
a 49 126 4
a 91 47 43
a 30 26 47
a 6 50 43
a 85 27 64
a 87 81 46
a 6 84 63
a 17 121 49
a 51 61 12
a 26 91 47
a 96 21 12
a 42 115 68
a 73 50 26
a 5 37 49
a 111 20 27
a 69 118 99
a 36 1 93
a 113 41 84
a 48 46 47
a 74 42 63
a 35 20 78
a 109 12 59
a 88 92 16
a 121 107 64
a 32 67 89
a 46 112 51
a 8 10 63
a 100 1 21
a 114 65 83
a 47 37 30
a 54 76 96
a 59 27 7
a 7 52 83
a 122 35 52
a 69 66 67
a 128 22 37
a 106 58 49
a 87 107 39
a 58 76 63
a 93 21 41
a 54 102 92
a 120 96 13
a 10 123 6
a 79 40 91
a 26 34 73
a 37 90 76
a 81 22 78
a 50 119 58
a 11 92 59
a 109 103 66
a 111 26 15
a 98 85 3
a 11 90 79
a 97 10 12
a 36 122 18
a 11 45 10
a 124 109 42
a 9 62 72
a 76 31 24
a 115 9 92
a 93 84 68
a 1 81 23
a 91 96 89
a 93 64 21
a 26 34 92
a 118 88 30
a 82 43 22
a 54 113 38
a 87 39 89
a 126 127 43
a 46 30 67
a 88 56 2
a 72 61 29
a 101 72 76
a 75 105 19
a 66 122 56
a 20 116 91
a 63 8 1
a 58 92 77
a 22 123 27
a 88 23 29
a 106 28 63
a 113 15 96
a 23 97 64
a 4 60 80
a 43 29 54
a 97 12 84
a 48 94 82
a 7 11 0
a 93 61 72
a 64 100 97
a 72 79 79
a 13 96 52
a 27 118 43
a 44 112 40
a 88 56 50
a 46 43 42
a 50 77 70
a 81 30 23
a 105 34 78
a 80 15 98
a 91 121 38
a 95 118 31
a 28 14 89
a 73 20 16
a 125 86 37
a 87 101 50
a 54 82 84
a 75 81 55
a 98 100 22
a 73 18 48
a 91 69 97
a 124 114 94
a 112 41 18
a 113 33 27
a 84 13 88
a 112 122 11
a 78 88 52
a 45 31 29
a 68 33 30
a 98 29 61
a 67 25 75
a 102 63 36
a 14 23 42
a 24 81 44
a 116 13 92
a 67 80 52
a 99 113 60
a 1 21 0
a 27 2 96
a 34 58 12
a 59 61 22
a 31 4 71
a 44 71 87
a 30 121 28
a 83 53 90
a 109 63 16
a 40 80 0
a 62 113 21
a 71 88 50
a 20 77 34
a 101 63 55
a 92 110 49
a 17 27 7
a 85 3 14
a 85 68 42
a 59 45 81
a 47 30 16
a 10 45 21
a 101 63 5
a 88 109 11
a 114 70 89
a 93 66 34
a 43 44 6
a 87 25 9
a 74 2 74
a 21 64 63
a 103 82 67
a 18 101 97
a 124 45 48
a 104 36 83
a 119 71 66
a 32 57 72
a 123 103 76
a 29 60 99
a 85 123 4
a 29 78 42
a 30 29 45
a 3 7 95
a 94 54 35
a 80 54 13
a 102 43 22
a 85 69 94
a 48 66 26
a 69 25 42
a 45 71 25
a 28 63 11
a 53 48 63
a 117 12 34
a 59 17 1
a 64 39 30
a 2 108 84
a 66 105 93
a 99 94 47
a 81 43 9
a 112 102 82
a 72 84 48
a 93 89 94
a 24 50 1
a 15 42 41
a 45 102 0
a 59 32 31
a 113 93 93
a 80 59 65
a 2 37 10
a 21 12 54
a 44 77 35
a 12 35 81
a 96 62 7
a 17 84 12
a 4 39 91
a 44 15 60
a 84 45 92
a 22 118 13
a 7 89 72
a 36 80 83
a 82 63 72
a 87 93 19
a 127 122 49
a 108 111 83
a 26 59 3
a 105 46 88
a 82 57 79
a 18 2 10
a 20 2 83
a 2 125 37
a 36 42 61
a 16 97 30
a 80 23 40
a 3 80 85
a 71 2 28
a 53 79 43
a 9 71 94
a 98 19 18
a 33 114 72
a 121 87 99
a 126 103 98
a 16 120 82
a 92 47 17
a 79 78 17
a 115 107 60
a 80 123 95
a 80 99 9
a 3 20 67
a 114 27 22
a 29 7 29
a 111 6 19
a 11 77 2
a 40 67 91
a 120 71 15
a 80 120 69
a 120 93 49
a 94 75 74
a 32 13 46
a 56 116 61
a 53 42 99
a 108 111 61
a 53 56 64
a 89 21 23
a 18 90 11
a 2 103 18
a 111 80 99
a 85 84 19
a 20 109 93
a 43 73 1
a 61 104 63
a 45 23 76
a 40 113 84
a 58 114 54
a 83 61 12
a 3 121 21
a 112 26 42
a 103 37 91
a 19 24 39
a 55 27 19
a 23 110 86
a 77 20 56
a 45 2 54
a 39 21 68
a 62 13 77
a 74 82 27
a 101 34 81
a 78 102 62
a 36 27 79
a 22 101 53
a 38 104 61
a 126 110 33
a 13 98 76
a 22 15 13
a 72 30 4
a 57 122 85
a 118 35 31
a 107 1 51
a 41 8 73
a 82 42 19
a 26 101 58
a 96 71 31
a 41 9 23
a 67 27 5
a 62 7 51
a 123 110 88
a 38 45 98
a 74 64 57
a 13 34 96
a 110 32 49
a 56 18 68
a 40 60 44
a 112 79 41
a 10 97 18
a 29 110 45
a 94 100 12
a 19 98 18
a 101 98 0
a 74 24 0
a 1 98 56
a 71 76 74
a 97 86 46
a 99 45 73
a 95 31 72
a 112 66 55
a 99 33 15
a 45 124 41
a 83 103 68
a 2 107 57
a 33 35 52
a 39 77 19
a 49 24 91
a 54 101 47
a 84 28 35
a 51 44 73
a 113 31 84
a 99 28 19
a 61 86 34
a 111 51 52
a 83 101 18
a 121 89 38
a 105 16 27
a 50 107 56
a 124 75 42
a 120 61 79
a 128 80 42
a 117 80 97
a 82 81 78
a 51 82 90
a 70 121 33
a 103 81 18
a 43 72 0
a 88 84 59
a 40 37 61
a 26 68 50
a 28 77 52
a 10 38 43
a 11 127 59
a 90 83 3
a 12 11 58
a 123 41 6
a 5 21 18
a 20 123 92
a 27 19 67
a 102 21 58
a 35 24 7
a 1 93 75
a 110 126 18
a 89 21 81
a 101 98 83
a 18 119 63
a 65 6 54
a 106 117 67
a 60 98 68
a 71 37 9
a 65 32 60
a 23 125 63
a 65 33 82
a 6 87 92
a 45 99 62
a 48 31 79
a 91 17 13
a 77 59 16
a 41 102 3
a 82 47 36
a 76 29 87
a 56 48 96
a 13 24 66
a 85 45 24
a 89 90 19
a 20 72 55
a 67 108 30
a 82 15 60
a 68 82 54
a 22 124 88
a 106 19 70
a 126 17 46
a 40 113 24
a 120 71 95
a 84 8 20
a 43 125 18
a 31 50 63
a 62 119 9
a 89 66 28
a 61 38 90
a 52 18 80
a 105 7 10
a 97 42 50
a 119 44 50
a 6 47 54
a 48 117 4
a 99 65 77
a 32 7 97
a 96 8 74
a 89 35 14
a 82 100 2
a 71 42 94
a 86 125 75
a 45 57 24
a 113 24 49
a 60 50 9
a 44 20 70
a 97 126 52
a 127 100 40
a 1 61 31
a 24 20 76
a 31 59 3
a 89 24 31
a 72 6 92
a 10 94 77
a 121 119 38
a 4 53 50
a 63 68 15
a 65 95 41
a 44 101 95
