c FILE			: 2_6.txt
c No. of vertices	: 64
c No. of directed edges	: 1024
c Max. weight		: 100
c Min. weight		: 0
c A directed arc from u to v of weight w
c is represented below as ' a  u  v  w '
p sp 64 1024
a 24 45 66
a 56 47 55
a 3 32 87
a 58 27 8
a 24 47 78
a 6 38 12
a 29 7 65
a 20 58 4
a 38 42 21
a 13 29 22
a 29 48 27
a 6 35 49
a 31 38 2
a 39 31 98
a 54 14 58
a 30 51 27
a 56 39 57
a 32 5 21
a 37 19 38
a 19 46 93
a 45 60 61
a 56 63 99
a 10 44 99
a 19 39 20
a 61 62 58
a 51 62 82
a 54 5 60
a 40 16 58
a 34 35 65
a 22 53 84
a 46 21 61
a 21 14 17
a 8 43 65
a 34 48 87
a 59 1 21
a 12 13 33
a 15 4 44
a 59 45 95
a 56 35 94
a 13 23 68
a 14 35 69
a 32 37 73
a 44 11 64
a 24 40 89
a 41 22 86
a 36 31 59
a 12 61 82
a 4 7 15
a 1 10 15
a 45 10 25
a 20 27 45
a 17 11 24
a 4 28 44
a 26 47 41
a 49 29 79
a 59 62 46
a 7 22 70
a 18 59 68
a 28 25 73
a 45 63 11
a 49 63 3
a 52 2 34
a 61 20 96
a 33 25 21
a 19 12 29
a 13 28 19
a 19 61 99
a 23 30 38
a 42 47 73
a 60 19 91
a 38 10 87
a 15 55 9
a 48 20 35
a 52 64 25
a 31 2 11
a 58 26 22
a 35 28 93
a 29 16 91
a 49 62 4
a 27 47 43
a 30 26 47
a 6 50 43
a 21 27 64
a 23 17 46
a 6 20 63
a 17 57 49
a 51 61 12
a 26 27 47
a 32 21 12
a 42 51 68
a 9 50 26
a 5 37 49
a 47 20 27
a 5 54 99
a 36 1 93
a 49 41 84
a 48 46 47
a 10 42 63
a 35 20 78
a 45 12 59
a 24 28 16
a 57 43 64
a 32 3 89
a 46 48 51
a 8 10 63
a 36 1 21
a 50 1 83
a 47 37 30
a 54 12 96
a 59 27 7
a 7 52 83
a 58 35 52
a 5 2 67
a 64 22 37
a 42 58 49
a 23 43 39
a 58 12 63
a 29 21 41
a 54 38 92
a 56 32 13
a 10 59 6
a 15 40 91
a 26 34 73
a 37 26 76
a 17 22 78
a 50 55 58
a 11 28 59
a 45 39 66
a 47 26 15
a 34 21 3
a 11 26 79
a 33 10 12
a 36 58 18
a 11 45 10
a 60 45 42
a 9 62 72
a 12 31 24
a 51 9 92
a 29 20 68
a 1 17 23
a 27 32 89
a 29 64 21
a 26 34 92
a 54 24 30
a 18 43 22
a 54 49 38
a 23 39 89
a 62 63 43
a 46 30 67
a 24 56 2
a 8 61 29
a 37 8 76
a 11 41 19
a 2 58 56
a 20 52 91
a 63 8 1
a 58 28 77
a 22 59 27
a 24 23 29
a 42 28 63
a 49 15 96
a 23 33 64
a 4 60 80
a 43 29 54
a 33 12 84
a 48 30 82
a 7 11 0
a 29 61 72
a 64 36 97
a 8 15 79
a 13 32 52
a 27 54 43
a 44 48 40
a 24 56 50
a 46 43 42
