c FILE			: 2_13.txt
c No. of vertices	: 8192
c No. of directed edges	: 131072
c Max. weight		: 100
c Min. weight		: 0
c A directed arc from u to v of weight w
c is represented below as ' a  u  v  w '
p sp 8192 131072
a 408 1261 66
a 1272 5679 55
a 4547 4896 87
a 5050 7835 8
a 6872 5743 78
a 4870 6630 12
a 2077 1479 65
a 6612 4666 4
a 7654 5482 21
a 4301 6173 22
a 4765 7280 27
a 5574 6499 49
a 5215 934 2
a 7655 7839 98
a 2166 1614 58
a 4958 1779 27
a 376 1767 57
a 5024 8133 21
a 3429 7059 38
a 1555 302 93
a 621 6268 61
a 440 255 99
a 6730 3628 99
a 3987 2663 20
a 5949 7678 58
a 563 2174 82
a 1910 3781 60
a 3688 4048 58
a 6370 3427 65
a 3286 7285 84
a 2926 6997 61
a 7765 6606 17
a 3592 4907 65
a 4578 4208 87
a 6331 4161 21
a 6412 1485 33
a 2575 6980 44
a 6779 5293 95
a 8056 5859 94
a 909 7511 68
a 4494 4707 69
a 4192 1125 73
a 2357 6069 64
a 1708 5643 89
a 4312 5928 86
a 5033 5846 59
a 8164 2399 82
a 3852 1149 15
a 2500 71 15
a 577 3658 25
a 7277 4106 45
a 212 2843 24
a 7057 6923 44
a 4 7132 41
a 1242 879 79
a 1777 797 46
a 4091 5118 70
a 2951 2070 68
a 7826 1019 73
a 7772 921 11
a 7533 4159 3
a 3441 4351 34
a 3444 7298 96
a 2301 8020 21
a 6561 5401 29
a 467 1676 19
a 77 2652 99
a 7635 4925 38
a 6103 1246 73
a 4778 5999 91
a 4156 5331 87
a 1510 7178 9
a 6031 1847 35
a 3568 6484 25
a 4276 2496 11
a 479 7298 22
a 4410 3418 93
a 5347 3356 91
a 7901 4496 4
a 7985 6526 43
a 6363 2607 47
a 3998 3226 43
a 6150 4274 64
a 1237 5659 46
a 8023 3921 63
a 134 8148 49
a 7057 761 12
a 5299 3005 47
a 666 8027 12
a 7392 5909 68
a 4906 6003 26
a 4681 5810 49
a 8069 1701 27
a 4335 916 99
a 6085 7286 93
a 1444 7937 84
a 1393 6953 47
a 5040 2478 63
a 6346 4394 78
a 1315 4628 59
a 3437 4620 16
a 3928 6620 64
a 3577 1003 89
a 7584 4931 51
a 7470 8048 63
a 5256 10 21
a 6756 1409 83
a 7410 5953 30
a 303 1701 96
a 2358 2764 7
a 5691 155 83
a 2567 7604 52
a 634 1571 67
a 4165 5698 37
a 7808 4758 49
a 5354 1466 39
a 3159 2411 63
a 2362 588 41
a 3165 533 92
a 1078 1126 13
a 376 6496 6
a 5002 891 91
a 5583 2600 73
a 794 3362 76
a 2085 4314 78
a 1233 2326 58
a 3762 247 59
a 7179 220 66
a 7021 7527 15
a 6895 410 3
a 7266 4565 79
a 6795 4186 12
a 3297 2698 18
a 1060 8186 10
a 6463 4287 42
a 3467 1069 72
a 2556 7149 24
a 6665 4030 92
a 6988 7967 68
a 7539 2697 23
a 3933 3668 89
a 7937 7121 21
a 6875 6240 92
a 2397 1728 30
a 2330 2850 22
a 7798 2520 38
a 4178 2603 89
a 7734 881 43
a 4823 5415 67
a 510 1663 2
a 6702 6302 29
a 6616 5432 76
a 712 7613 19
a 7909 8008 56
a 2507 6121 91
a 5698 1018 1
a 3604 4340 77
a 3391 3720 27
a 6842 1756 29
a 1046 251 63
a 6872 6807 96
a 7146 2460 64
a 4721 5135 80
a 7703 7777 54
a 6660 1084 84
a 3755 285 82
a 3937 2828 0
a 2992 7518 72
a 647 2571 97
a 93 4157 79
a 7744 1252 52
a 584 719 43
a 3469 2528 40
a 411 2550 50
a 556 6512 42
a 7256 7480 70
a 3246 939 23
a 1074 2509 78
a 5969 2462 98
a 3177 7970 38
a 720 1679 31
a 1115 5497 89
a 3935 3702 16
a 2204 5134 37
a 713 2324 50
a 3709 7382 84
a 1111 7525 55
a 182 1746 22
a 5195 5457 48
a 994 6244 97
a 1609 1938 94
a 4827 1989 18
a 3964 2418 27
a 1008 5161 88
a 3441 1953 11
a 2900 1165 52
a 7024 6394 29
a 6350 1240 30
a 3117 3871 61
a 324 1953 75
a 4962 5021 36
a 2243 4377 42
a 8038 2623 44
a 1806 2711 92
a 920 209 52
a 500 5005 60
a 7619 3920 0
a 5603 4337 96
a 2433 7701 12
a 4123 6786 22
a 7586 6202 71
a 1211 3517 87
a 6943 7044 28
a 2732 3911 90
a 4766 8057 16
a 4051 4021 0
a 109 1215 21
a 5544 5968 50
a 2750 2161 34
a 7239 5592 55
a 2580 461 49
a 7141 3263 7
a 476 2542 14
a 3345 3867 42
a 469 6787 81
a 6613 1348 16
a 6971 45 21
a 1327 1182 5
a 7050 5037 11
a 4325 2879 89
a 4696 3565 34
a 4338 4422 6
a 2781 3394 9
a 5035 5932 74
a 2391 3737 63
a 3402 7938 67
a 2709 2752 97
a 4967 3282 48
a 7826 5477 83
a 2428 301 66
a 744 5412 72
a 3959 1607 76
a 4512 313 99
a 1915 2663 4
a 285 8124 42
a 3157 1275 45
a 7709 4686 95
a 5406 1053 35
a 6787 5255 13
a 1502 6454 22
a 2512 2102 94
a 5350 2347 26
a 8149 2245 42
a 1712 4802 25
a 7237 2201 11
a 3757 7495 63
a 7580 3647 34
a 4277 6704 1
a 3061 140 30
a 5051 145 84
a 7104 3239 93
a 1666 7404 47
a 6850 1769 9
a 6499 3806 82
a 3665 3115 48
a 6000 4326 94
a 1608 3540 1
a 4189 6105 41
a 2584 4018 0
a 2319 8106 31
a 6957 7142 93
a 5947 672 65
a 6897 1885 10
a 1616 2107 54
a 6402 4005 35
a 1429 1676 81
a 5036 2893 7
a 6668 675 12
a 6368 4030 91
a 145 3028 60
a 3204 8103 92
a 2476 6927 13
a 212 4781 72
a 3862 3830 83
a 4231 1881 72
a 4516 4432 19
a 3410 319 49
a 2903 7133 83
a 5503 5626 3
a 5868 1263 88
a 1434 6587 79
a 4841 3502 10
a 1618 4281 83
a 914 5122 37
a 532 1154 61
a 2690 7677 30
a 1828 7850 40
a 5008 4321 85
a 2000 3735 28
a 1027 2768 43
a 583 3330 94
a 5557 3919 18
a 6921 4295 72
a 5602 915 99
a 2081 6386 98
a 249 5463 82
a 1918 3175 17
a 5317 325 17
a 5392 3320 60
a 476 1327 95
a 975 1358 9
a 5235 7659 67
a 6480 4219 22
a 5072 5603 29
a 3459 4372 19
a 5746 1691 2
a 3229 1927 91
a 1263 6278 15
a 2059 7629 69
a 4136 4931 49
a 4856 6343 74
a 592 7288 46
a 8056 5597 61
a 6151 6023 99
a 94 5963 61
a 6560 909 64
a 952 1012 23
a 4533 5546 11
a 4332 4591 18
a 1461 5176 99
a 1753 7573 19
a 1042 2522 93
a 770 6759 1
a 2799 2000 63
a 5845 6868 76
a 1300 3949 84
a 1323 4169 54
a 7485 6888 12
a 2349 3351 21
a 6184 3825 42
a 6074 7538 91
a 723 5949 39
a 3459 6137 19
a 3312 2586 86
a 4839 1701 56
a 6035 3480 54
a 8119 5275 68
a 4887 878 77
a 5325 1172 27
a 7725 1666 81
a 1482 5194 62
a 2727 2069 79
a 3134 1421 53
a 5834 1618 61
a 1637 5794 33
a 5326 102 76
a 8100 4507 13
a 6294 4709 4
a 4262 8168 85
a 2558 4974 31
a 5389 5218 51
a 3990 1167 73
a 3784 6686 19
a 1209 5882 58
a 1014 2851 31
a 5227 6785 23
a 5289 7560 5
a 2258 5162 51
a 2970 2533 88
a 3552 4551 98
a 3881 905 57
a 1987 1947 96
a 1214 6791 49
a 4091 3438 68
a 1190 7469 44
a 2378 2880 41
a 6285 6434 18
a 7150 4768 45
a 5432 914 12
a 5544 7612 18
a 4080 591 0
a 266 3041 0
a 4765 2286 56
a 7902 4580 74
a 3731 3682 46
a 3813 994 73
a 2762 664 72
a 2817 354 55
a 5703 1996 15
a 5217 342 41
a 1635 301 68
a 223 5791 57
a 1136 2882 52
a 5091 3233 19
a 5037 6780 91
a 5075 4711 47
a 1922 1259 35
a 4641 3107 73
a 6695 1357 84
a 3249 1816 19
a 2998 613 34
a 7380 924 52
a 7731 6316 18
a 2161 4767 38
a 7011 2588 27
a 2109 5974 56
a 7151 51 42
a 595 7653 79
a 3833 2649 42
a 873 6928 97
a 2866 1771 78
a 8060 715 90
a 7800 1853 33
a 1280 2256 18
a 373 6608 0
a 7122 5073 59
a 4531 3538 61
a 7622 1273 50
a 999 5329 52
a 6443 2504 43
a 6104 4692 59
a 296 1957 3
a 7706 5828 58
a 1308 6733 6
a 7562 2726 18
a 2571 3839 92
a 8154 2387 67
a 3596 907 58
a 3963 1961 7
a 3717 917 75
a 7828 4731 18
a 3611 4883 81
a 5478 1045 83
a 8099 4632 63
a 6273 5725 54
a 4718 4350 67
a 4057 405 68
a 5605 3298 9
a 2322 1783 60
a 7489 1286 63
a 6378 7029 82
a 7612 4066 92
a 6087 6053 62
a 2753 4640 79
a 2071 5117 13
a 2881 417 16
a 5638 4823 3
a 3885 2531 36
a 7728 1183 87
a 7899 5777 96
a 7885 4155 66
a 1833 1894 24
a 850 7471 19
a 2636 6557 55
a 3768 7088 30
a 6541 1944 60
a 5973 429 54
a 5337 7002 88
a 788 3400 70
a 2115 4972 46
a 4434 1423 24
a 7236 7890 95
a 2326 5372 20
a 3690 7443 18
a 5502 7569 63
a 2984 7153 9
a 2296 6343 28
a 1108 3464 90
a 6315 4477 80
a 2591 6450 10
a 3134 6263 50
a 5081 3522 50
a 7229 1574 54
a 820 3346 4
a 7145 4871 77
a 5601 2474 97
a 2167 2732 74
a 5638 2607 14
a 5296 2933 2
a 3427 4417 94
a 7200 4231 75
a 3808 776 24
a 5977 1827 49
a 7378 4708 9
a 2119 2858 70
a 5974 4477 52
a 5805 3513 40
a 497 7704 31
a 6332 3250 76
a 2348 3988 3
a 4449 5246 31
a 2815 6756 92
a 4481 4925 77
a 6424 6804 38
a 7711 2235 50
a 3801 4248 15
a 8008 7302 41
a 7178 2398 95
a 4857 3831 44
a 6404 3637 96
a 2239 2116 88
a 1473 7647 58
a 428 2021 0
a 5865 1751 71
a 554 3244 39
a 7672 7082 34
a 3440 5246 59
a 574 5556 82
a 6856 4936 32
a 5090 6981 50
a 4948 7343 83
a 3789 6336 17
a 270 5778 75
a 1939 2288 91
a 7250 4540 57
a 7479 649 38
a 2995 4882 30
a 960 4739 13
a 7221 5590 56
a 851 6432 67
a 6692 440 1
a 7577 683 21
a 7758 7784 61
a 1348 7613 34
a 5798 7583 62
a 5328 1299 78
a 7653 2017 90
a 4298 183 52
a 8035 7132 20
a 2678 4565 61
a 3998 8037 40
a 3876 4726 84
a 6074 1559 79
a 4560 2825 89
a 4134 4573 60
a 4242 2544 17
a 5051 7093 57
a 4752 3173 91
a 1074 503 98
a 1156 1038 86
a 6967 5177 68
a 5849 6107 58
a 2869 3512 30
a 5341 1830 2
a 7158 3549 20
a 5250 4347 86
a 3691 3822 84
a 1591 5596 19
a 2168 3910 0
a 5688 3958 3
a 6276 1791 41
a 874 3408 54
a 5726 1135 50
a 1761 1718 46
a 3234 6147 34
a 5996 2214 99
a 1716 7166 34
a 4072 3702 38
a 4721 2545 26
a 3045 8175 66
a 4152 1451 72
a 598 5307 1
a 3080 530 83
a 3020 4506 47
a 1578 6005 77
a 2529 7367 59
a 7869 7257 98
a 7069 2132 40
a 5454 4534 59
a 6175 4483 43
a 7720 2237 77
a 7681 5225 30
a 3570 7875 68
a 7591 5880 50
a 4175 2146 47
a 5539 5029 89
a 5955 1112 12
a 254 1399 43
a 1985 100 35
a 4666 4517 24
a 2766 1368 13
a 2177 293 34
a 6404 1688 53
a 3870 6402 98
a 4742 1735 89
a 5608 1832 42
a 7939 2272 48
a 4949 235 11
a 4494 2374 36
a 7219 4331 6
a 348 5507 21
a 5413 1455 65
a 627 1862 3
a 1026 7934 96
a 1604 4637 74
a 5396 4163 69
a 1124 7478 40
a 1232 7905 68
a 3166 4179 80
a 319 4145 67
a 1579 638 39
a 1598 3408 77
a 1264 2330 39
a 6141 6139 26
a 822 2624 70
a 4870 4528 30
a 319 1929 89
a 6776 1203 89
a 4752 128 21
a 1222 3041 37
a 7159 5573 82
a 2010 4805 44
a 7480 5698 51
a 3762 5529 18
a 7481 7487 84
a 4025 3309 13
a 7239 3387 47
a 2782 8 50
a 4093 1554 58
a 5404 6473 77
a 2559 6077 0
a 4695 2357 40
a 4533 2784 30
a 7636 4453 77
a 2660 5828 95
a 7324 1985 28
a 854 5265 91
a 5546 7511 37
a 2246 1093 1
a 648 7504 96
a 7579 3004 34
a 3483 874 77
a 4998 8020 23
a 6502 7461 23
a 798 887 99
a 8094 8089 26
a 7686 6742 10
a 2653 4199 80
a 5777 1238 34
a 2522 7438 99
a 6909 6869 43
a 1090 4518 22
a 6201 947 8
a 4859 4476 97
a 3594 5115 94
a 396 7243 75
a 2485 2311 19
a 1259 6475 73
a 1391 3096 11
a 130 8108 83
a 773 2767 63
a 6126 6626 82
a 7223 5209 69
a 5838 7996 21
a 4871 456 27
a 3268 3568 95
a 6677 1600 43
a 4517 5633 14
a 3903 6418 96
a 3188 5356 43
a 3766 2521 35
a 6901 1618 4
a 3238 1481 71
a 2735 3798 35
a 5095 6378 60
a 4328 2668 59
a 3879 1743 6
a 1035 1167 13
a 8019 6610 5
a 1049 5460 7
a 1055 4212 34
a 359 1646 94
a 1093 8055 31
a 6155 6395 11
a 2975 7628 91
a 3869 5656 66
a 7647 5496 84
a 4058 4499 82
a 2971 5930 20
a 2269 7091 39
a 6750 6565 11
a 7000 1329 60
a 6775 4052 26
a 2177 1445 22
a 1258 6630 56
a 3162 4428 32
a 6211 6406 47
a 6553 4157 69
a 4438 3804 38
a 6981 2928 63
a 5983 652 98
a 1820 2603 71
a 3789 2786 6
a 1857 5061 96
a 2572 4315 21
a 6535 6228 66
a 2205 2483 96
a 5398 3992 31
a 1791 5308 98
a 7834 2118 45
a 2626 6000 90
a 6705 2815 45
a 3431 2270 22
a 4555 2843 82
a 6886 2921 49
a 7951 319 2
a 507 841 76
a 5096 6180 69
a 5840 7317 55
a 3921 580 15
a 2088 7402 28
a 7817 1609 89
a 4452 7652 72
a 1009 1700 70
a 5406 4035 67
a 3756 1252 63
a 1435 7916 23
a 6598 1522 17
a 3126 6133 32
a 4520 5124 58
a 4187 3850 68
a 1433 6111 52
a 4477 2932 8
a 1084 6265 43
a 1548 654 75
a 251 509 99
